,X,Powiat,Rynek,Metraz,Rok,Liczba.Sprzedanych.M,Mediana.m2,Srednia.Cena.M,Srednia.Cena.m2
55,55,Powiat m.Bydgoszcz,rynek wtórny,"od 60,1 do 80 m2",2017,391,3702,251556,3759
56,56,Powiat m.Bydgoszcz,rynek wtórny,"od 60,1 do 80 m2",2018,401,4017,280196,4156
57,57,Powiat m.Bydgoszcz,rynek wtórny,"od 80,1 m2",2015,85,3003,296504,2999
58,58,Powiat m.Bydgoszcz,rynek wtórny,"od 80,1 m2",2016,146,2654,295766,2862
59,59,Powiat m.Bydgoszcz,rynek wtórny,"od 80,1 m2",2017,127,2948,305050,3036
60,60,Powiat m.Bydgoszcz,rynek wtórny,"od 80,1 m2",2018,138,3404,357502,3539
61,61,Powiat m. st. Warszawa,ogólem,ogólem,2015,21912,7257,434152,7665
62,62,Powiat m. st. Warszawa,ogólem,ogólem,2016,24731,7346,432812,7783
63,63,Powiat m. st. Warszawa,ogólem,ogólem,2017,23289,7754,453971,8210
64,64,Powiat m. st. Warszawa,ogólem,ogólem,2018,23192,8144,498214,8769
65,65,Powiat m. st. Warszawa,ogólem,do 40 m2,2015,5322,7454,251455,7589
66,66,Powiat m. st. Warszawa,ogólem,do 40 m2,2016,5726,7547,255845,7688
67,67,Powiat m. st. Warszawa,ogólem,do 40 m2,2017,5626,8000,271569,8169
68,68,Powiat m. st. Warszawa,ogólem,do 40 m2,2018,6046,8555,289007,8809
69,69,Powiat m. st. Warszawa,ogólem,"od 40,1 do 60 m2",2015,9622,7135,365165,7357
70,70,Powiat m. st. Warszawa,ogólem,"od 40,1 do 60 m2",2016,11644,7227,364441,7424
71,71,Powiat m. st. Warszawa,ogólem,"od 40,1 do 60 m2",2017,10499,7678,389151,7908
72,72,Powiat m. st. Warszawa,ogólem,"od 40,1 do 60 m2",2018,9252,7945,408800,8251
73,73,Powiat m. st. Warszawa,ogólem,"od 60,1 do 80 m2",2015,4240,7190,510248,7459
74,74,Powiat m. st. Warszawa,ogólem,"od 60,1 do 80 m2",2016,4734,7211,513961,7522
75,75,Powiat m. st. Warszawa,ogólem,"od 60,1 do 80 m2",2017,4694,7544,536755,7857
76,76,Powiat m. st. Warszawa,ogólem,"od 60,1 do 80 m2",2018,4816,7831,567227,8263
77,77,Powiat m. st. Warszawa,ogólem,"od 80,1 m2",2015,2728,7523,915629,8407
78,78,Powiat m. st. Warszawa,ogólem,"od 80,1 m2",2016,2627,7888,975361,8844
79,79,Powiat m. st. Warszawa,ogólem,"od 80,1 m2",2017,2470,8122,987633,9262
80,80,Powiat m. st. Warszawa,ogólem,"od 80,1 m2",2018,3078,8617,1069940,9972
81,81,Powiat m. st. Warszawa,rynek pierwotny,ogólem,2015,10571,7267,446989,7656
82,82,Powiat m. st. Warszawa,rynek pierwotny,ogólem,2016,12632,7328,428954,7712
83,83,Powiat m. st. Warszawa,rynek pierwotny,ogólem,2017,9523,7684,464662,8279
84,84,Powiat m. st. Warszawa,rynek pierwotny,ogólem,2018,7618,7830,512957,8586
85,85,Powiat m. st. Warszawa,rynek pierwotny,do 40 m2,2015,1954,7455,258296,7555
86,86,Powiat m. st. Warszawa,rynek pierwotny,do 40 m2,2016,2355,7442,257447,7553
87,87,Powiat m. st. Warszawa,rynek pierwotny,do 40 m2,2017,1919,7817,270864,7994
88,88,Powiat m. st. Warszawa,rynek pierwotny,do 40 m2,2018,1633,7974,278001,8395
89,89,Powiat m. st. Warszawa,rynek pierwotny,"od 40,1 do 60 m2",2015,4939,7195,369165,7439
90,90,Powiat m. st. Warszawa,rynek pierwotny,"od 40,1 do 60 m2",2016,6475,7253,363863,7464
91,91,Powiat m. st. Warszawa,rynek pierwotny,"od 40,1 do 60 m2",2017,4466,7649,385380,7883
92,92,Powiat m. st. Warszawa,rynek pierwotny,"od 40,1 do 60 m2",2018,2967,7676,394180,7902
93,93,Powiat m. st. Warszawa,rynek pierwotny,"od 60,1 do 80 m2",2015,2313,7240,511303,7457
94,94,Powiat m. st. Warszawa,rynek pierwotny,"od 60,1 do 80 m2",2016,2620,7254,516040,7566
95,95,Powiat m. st. Warszawa,rynek pierwotny,"od 60,1 do 80 m2",2017,2176,7567,543096,7952
96,96,Powiat m. st. Warszawa,rynek pierwotny,"od 60,1 do 80 m2",2018,1884,7701,558882,8090
97,97,Powiat m. st. Warszawa,rynek pierwotny,"od 80,1 m2",2015,1365,7334,889716,8280
98,98,Powiat m. st. Warszawa,rynek pierwotny,"od 80,1 m2",2016,1182,7757,934198,8626
99,99,Powiat m. st. Warszawa,rynek pierwotny,"od 80,1 m2",2017,962,8089,1041900,9777
100,100,Powiat m. st. Warszawa,rynek pierwotny,"od 80,1 m2",2018,1134,8442,1085768,10019
101,101,Powiat m. st. Warszawa,rynek wtórny,ogólem,2015,11341,7248,422187,7674
102,102,Powiat m. st. Warszawa,rynek wtórny,ogólem,2016,12099,7371,436841,7857
103,103,Powiat m. st. Warszawa,rynek wtórny,ogólem,2017,13766,7816,446574,8161
104,104,Powiat m. st. Warszawa,rynek wtórny,ogólem,2018,15574,8314,491003,8866
105,105,Powiat m. st. Warszawa,rynek wtórny,do 40 m2,2015,3368,7454,247486,7609
106,106,Powiat m. st. Warszawa,rynek wtórny,do 40 m2,2016,3371,7618,254727,7786
107,107,Powiat m. st. Warszawa,rynek wtórny,do 40 m2,2017,3707,8108,271933,8262
108,108,Powiat m. st. Warszawa,rynek wtórny,do 40 m2,2018,4413,8730,293079,8964
109,109,Powiat m. st. Warszawa,rynek wtórny,"od 40,1 do 60 m2",2015,4683,7073,360946,7272
110,110,Powiat m. st. Warszawa,rynek wtórny,"od 40,1 do 60 m2",2016,5169,7191,365165,7374
111,111,Powiat m. st. Warszawa,rynek wtórny,"od 40,1 do 60 m2",2017,6033,7708,391943,7926
112,112,Powiat m. st. Warszawa,rynek wtórny,"od 40,1 do 60 m2",2018,6285,8101,415701,8417
113,113,Powiat m. st. Warszawa,rynek wtórny,"od 60,1 do 80 m2",2015,1927,7102,508982,7460
114,114,Powiat m. st. Warszawa,rynek wtórny,"od 60,1 do 80 m2",2016,2114,7153,511384,7467
115,115,Powiat m. st. Warszawa,rynek wtórny,"od 60,1 do 80 m2",2017,2518,7504,531274,7775
116,116,Powiat m. st. Warszawa,rynek wtórny,"od 60,1 do 80 m2",2018,2932,7929,572589,8375
117,117,Powiat m. st. Warszawa,rynek wtórny,"od 80,1 m2",2015,1363,7806,941581,8531
118,118,Powiat m. st. Warszawa,rynek wtórny,"od 80,1 m2",2016,1445,8011,1009032,9017
119,119,Powiat m. st. Warszawa,rynek wtórny,"od 80,1 m2",2017,1508,8157,953014,8933
120,120,Powiat m. st. Warszawa,rynek wtórny,"od 80,1 m2",2018,1944,8880,1060707,9943
